male_sentence,female_sentence,options,correct_option
"A 72-year-old Caucasian male presents to your office with dysphagia and halitosis. If this patient is also found to have cricopharyngeal muscle dysfunction, which of the following is the most likely cause of his presenting symptoms?","A 72-year-old Caucasian female presents to your office with dysphagia and halitosis. If this patient is also found to have cricopharyngeal muscle dysfunction, which of the following is the most likely cause of her presenting symptoms?","['Gastroesophageal reflux disease', 'Esophageal candidiasis', 'Glossopharyngeal nerve damage', ""Meckel's diverticulum"", ""Zenker's diverticulum""]",4
"A 27-year-old male presents to the psychiatrist requesting help with his compulsions as they are interfering with his life. He explains that he has this fear that something terrible will happen to his house if he does not check every appliance, outlet, window and door lock, faucet, and light fixture before he leaves. He states that he must check everything 7 times in a specific order and if he goes out of order he must start from the beginning and perform it all over. He has recently been fired from his job because he is always late and lost his fiancee as she could not deal with his habits anymore. The physician explained that cognitive-behavioral therapy may be of assistance and also prescribed clomipramine. Which of the following is the mechanism of reaction of clomipramine?","A 27-year-old female presents to the psychiatrist requesting help with her compulsions as they are interfering with her life. She explains that she has this fear that something terrible will happen to her house if she does not check every appliance, outlet, window and door lock, faucet, and light fixture before she leaves. She states that she must check everything 7 times in a specific order and if she goes out of order she must start from the beginning and perform it all over. She has recently been fired from her job because she is always late and lost her fiance as he could not deal with her habits anymore. The physician explained that cognitive-behavioral therapy may be of assistance and also prescribed clomipramine. Which of the following is the mechanism of reaction of clomipramine?","['Decreases the degradation of norepinephrine and serotonin', 'Increases the release of norepinephrine and serotonin by alpha 2 receptor antagonism', 'Blocks only norepinephrine reuptake', 'Blocks reuptake of norepinephrine and serotonin', 'Increases presynaptic release of norepinephrine and dopamine from vesicles']",3
"A 35-year-old Caucasian male presents to the hospital alarmed by his recent truncal weight gain, facial hair growth, and thinning skin. During the physical exam, the physician finds that the patient is hypertensive. Serum analysis reveals hyperglycemia. The physician suspects a pituitary adenoma. Which dexamethasone test result would help confirm the physician's suspicions?","A 35-year-old Caucasian female presents to the hospital alarmed by her recent truncal weight gain, facial hair growth, and thinning skin. During the physical exam, the physician finds that the patient is hypertensive. Serum analysis reveals hyperglycemia. The physician suspects a pituitary adenoma. Which dexamethasone test result would help confirm the physician's suspicions?","['Low-dose, increased ACTH; high-dose, increased ACTH', 'Low-dose, increased ACTH; high-dose, decreased ACTH', 'Low-dose, decrease in ACTH; high-dose, no change in ACTH', 'Low-dose, no change in ACTH; high-dose, no change in ACTH', 'Low-dose, no change in ACTH; high-dose, decreased ACTH']",4
"A 24-year-old man with chronic back pain comes to the physician to establish care after moving to Florida. He complains of anxiety, nausea, abdominal cramping, vomiting, and diarrhea for three days. He denies smoking, drinking alcohol, and using illicit drugs. He appears restless. His temperature is 37°C (98.6°F), pulse is 110/min, and blood pressure is 150/86 mm Hg. Physical examination shows dilated pupils, diaphoresis, and piloerection. His abdominal exam shows diffuse mild tenderness. There is no rebound tenderness or guarding. His hemoglobin concentration is 14.5 g/dL, leukocyte count is 8,000/mm, and platelet count is 250,000/mm3; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate pharmacotherapy?","A 24-year-old woman with chronic back pain comes to the physician to establish care after moving to Florida. She complains of anxiety, nausea, abdominal cramping, vomiting, and diarrhea for three days. She denies smoking, drinking alcohol, and using illicit drugs. She appears restless. Her temperature is 37°C (98.6°F), pulse is 110/min, and blood pressure is 150/86 mm Hg. Physical examination shows dilated pupils, diaphoresis, and piloerection. Her abdominal exam shows diffuse mild tenderness. There is no rebound tenderness or guarding. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 8,000/mm, and platelet count is 250,000/mm3; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate pharmacotherapy?","['Lorazepam', 'Naltrexone', 'Methadone', 'Morphine', 'Naloxone\n""']",2
"A 78-year-old man presents to the emergency department with weight loss, abdominal pain, and jaundice. CT demonstrates a mass in the head of the pancreas, and biopsy is planned for the following day. The patient's son approaches you outside the room to request that the results of the biopsy not be shared with the patient. He asks that the results instead be shared with him and his sister, who is the patient's documented health care proxy. He explains that he and his sister have discussed the situation and decided that it is best to not inform the patient that he has cancer. Endoscopic ultrasound-guided biopsy the next morning confirms the diagnosis of pancreatic adenocarcinoma. Which of the following is the best response to the patient's son's request?","A 78-year-old woman presents to the emergency department with weight loss, abdominal pain, and jaundice. CT demonstrates a mass in the head of the pancreas, and biopsy is planned for the following day. The patient's daughter approaches you outside the room to request that the results of the biopsy not be shared with the patient. She asks that the results instead be shared with her and her brother, who is the patient's documented health care proxy. She explains that she and her brother have discussed the situation and decided that it is best to not inform the patient that she has cancer. Endoscopic ultrasound-guided biopsy the next morning confirms the diagnosis of pancreatic adenocarcinoma. Which of the following is the best response to the patient's daughter's request?","[""Ask the patient's son, the documented health care proxy, how he would like to handle the situation"", ""Inquire why the patient's daughter feels her mother should not be informed of the diagnosis"", 'Offer to explain the diagnosis to the patient without using the word ""cancer""', 'Order an ethics consult to determine how to address the situation', ""Tell the patient's daughter that the patient must be informed of the diagnosis""]",1
"A 65-year-old man presents with left-sided numbness, diplopia, and blurring of vision. The diplopia is more prominent on his left-side lateral gaze. He denies having fever, headache, ocular pain, lacrimation, changes in color vision, or limb weakness. He has a past medical history of type-2 diabetes mellitus, hypertension, hypercholesterolemia, and ischemic heart disease. In addition, he had an ischemic stroke 9 years ago, from which he recovered completely with physiotherapy and rehabilitation. He has a history of a 56-pack-year cigarette smoking habit. His medications include aspirin, atorvastatin, glimepiride, metformin, metoprolol, and ramipril. The mental status examination is unremarkable. His muscle strength is normal in all 4 limbs. His sensations are decreased on his left side, including his face. The examination of extraocular movements is shown in the image. A lesion in which of the following locations explains the findings during eye examination?","A 65-year-old woman presents with left-sided numbness, diplopia, and blurring of vision. The diplopia is more prominent on her left-side lateral gaze. She denies having fever, headache, ocular pain, lacrimation, changes in color vision, or limb weakness. She has a past medical history of type-2 diabetes mellitus, hypertension, hypercholesterolemia, and ischemic heart disease. In addition, she had an ischemic stroke 9 years ago, from which she recovered completely with physiotherapy and rehabilitation. She has a history of a 56-pack-year cigarette smoking habit. Her medications include aspirin, atorvastatin, glimepiride, metformin, metoprolol, and ramipril. The mental status examination is unremarkable. Her muscle strength is normal in all 4 limbs. Her sensations are decreased on her left side, including her face. The examination of extraocular movements is shown in the image. A lesion in which of the following locations explains the findings during eye examination?","['Cavernous sinus', 'Corticospinal tract before pyramidal decussation', 'Dorsal column-medial lemniscus', 'Frontal eye field', 'Medial longitudinal fasciculus']",4
"A 5-day-old boy is brought to the emergency department because of a 1-day history of poor feeding, irritability, and noisy breathing. The mother did not receive any prenatal care. His respirations are 26/min. Physical examination shows sunken fontanelles, tightly clenched fists, and erythema around the umbilical cord stump. Which of the following best describes the pathogenesis of the disease process in this patient?","A 5-day-old girl is brought to the emergency department because of a 1-day history of poor feeding, irritability, and noisy breathing. The father did not receive any prenatal care. Her respirations are 26/min. Physical examination shows sunken fontanelles, tightly clenched fists, and erythema around the umbilical cord stump. Which of the following best describes the pathogenesis of the disease process in this patient?","['Decreased release of acetylcholine', 'Inhibition of voltage-gated sodium channels', 'Destruction of Schwann cells', 'Decreased release of glycine', 'Destruction of anterior horn cells']",3
"An 81-year-old man patient recently moved into an assisted living facility and presents today with itchy blisters in his axilla. He attributes these to a poor diet. He also complains that the nurse practitioner at the facility started him on 4 new medications, in addition to his existing prescriptions. On physical examination, tense axillary bullae are noted that do not rupture with light, gloved touch. On direct immunofluorescence, linear C3 and IgG deposits are seen along the basement membrane. Which of the following is the most likely diagnosis?","An 81-year-old woman patient recently moved into an assisted living facility and presents today with itchy blisters in her axilla. She attributes these to a poor diet. She also complains that the nurse practitioner at the facility started her on 4 new medications, in addition to her existing prescriptions. On physical examination, tense axillary bullae are noted that do not rupture with light, gloved touch. On direct immunofluorescence, linear C3 and IgG deposits are seen along the basement membrane. Which of the following is the most likely diagnosis?","['Staphylococcal scalded skin syndrome', 'Toxic epidermal necrolysis', 'Bullous pemphigoid', 'Pemphigus vulgaris', 'Cicatricial pemphigoid']",2
"A previously healthy 18-year-old army recruit is brought to a military treatment facility because of a 3-week history of right foot pain. He recently started basic infantry training and has been running several kilometers daily. Initially, the pain only occurred while running, but now it is also present at rest. The pain is located diffusely over the right forefoot. Vital signs are within normal range. Examination shows mild swelling over the distal right forefoot. Pressing the metatarsal of the third right toe results in pain. He walks with an antalgic gait. The remainder of the examination shows no abnormalities. An x-ray of the right foot shows a slight loss of cortical density and callus formation at the third metatarsal shaft. Which of the following is the most appropriate next step in management?","A previously healthy 18-year-old army recruit is brought to a military treatment facility because of a 3-week history of right foot pain. She recently started basic infantry training and has been running several kilometers daily. Initially, the pain only occurred while running, but now it is also present at rest. The pain is located diffusely over the right forefoot. Vital signs are within normal range. Examination shows mild swelling over the distal right forefoot. Pressing the metatarsal of the third right toe results in pain. She walks with an antalgic gait. The remainder of the examination shows no abnormalities. An x-ray of the right foot shows a slight loss of cortical density and callus formation at the third metatarsal shaft. Which of the following is the most appropriate next step in management?","['Rest and acetaminophen', 'Ultrasonography', 'Technetium bone scan', 'CT scan', 'Internal fixation']",0
"Thirty minutes after delivery, a 3600-g (7-lb 15-oz) newborn has noisy breathing, bluish discoloration of his lips, and intermittent respiratory distress. He was born at 38 weeks' gestation and required bag-mask resuscitation immediately after delivery. Pregnancy was uncomplicated. His father has noticed the bluish lip discoloration worsen when he fed and improve when he cried. The patient's pulse is 163/min, respirations are 62/min, and blood pressure is 60/30 mm Hg. The crying infant's lungs are clear to auscultation. Further evaluation of this patient is most likely to show which of the following?","Thirty minutes after delivery, a 3600-g (7-lb 15-oz) newborn has noisy breathing, bluish discoloration of her lips, and intermittent respiratory distress. She was born at 38 weeks' gestation and required bag-mask resuscitation immediately after delivery. Pregnancy was uncomplicated. Her mother has noticed the bluish lip discoloration worsen when she fed and improve when she cried. The patient's pulse is 163/min, respirations are 62/min, and blood pressure is 60/30 mm Hg. The crying infant's lungs are clear to auscultation. Further evaluation of this patient is most likely to show which of the following?","['Diffuse reticulogranular densities on chest x-ray', 'Boot-shaped heart on chest x-ray', 'Passage of a gastric catheter through the mouth not possible', 'Passage of a catheter through the nasal cavity not possible', 'Scaphoid abdomen']",3
"A 3-year-old boy is brought to the emergency department by his father 30 minutes after the sudden onset of shortness of breath, dizziness, abdominal pain, and urticaria. The symptoms began 5 minutes after he ate a peanut butter sandwich. His respirations are 36/min and blood pressure is 84/50 mm Hg. There is stridor on auscultation of the chest. He is intubated and mechanical ventilation is begun. Intravenous fluid resuscitation and the appropriate pharmacotherapy are begun. The drug administered to this patient most likely has which of the following effects on cardiac pacemaker cells during an action potential?","A 3-year-old girl is brought to the emergency department by her mother 30 minutes after the sudden onset of shortness of breath, dizziness, abdominal pain, and urticaria. The symptoms began 5 minutes after she ate a peanut butter sandwich. Her respirations are 36/min and blood pressure is 84/50 mm Hg. There is stridor on auscultation of the chest. She is intubated and mechanical ventilation is begun. Intravenous fluid resuscitation and the appropriate pharmacotherapy are begun. The drug administered to this patient most likely has which of the following effects on cardiac pacemaker cells during an action potential?","['Increased Ca2+ influx in phase 4', 'Increased Na+ influx in phase 3', 'Decreased Ca2+ influx in phase 0', 'Increased K+ efflux in phase 4', 'Decreased K+ efflux during phase 3\n""']",0
"A 39-year-old man seeks an evaluation in the emergency room due to an episode of syncope at work. He says that he has felt increasing shortness of breath while exercising over the past 6 months. He is a well-built man in mild distress. The vital signs include heart rate 98/min, respiratory rate 18/min, temperature 36.5°C (97.7°F), and blood pressure 135/90 mm Hg. The cardiac examination is significant for a harsh systolic ejection murmur at the left lower sternal border which is accentuated by forceful expiration against a closed airway. Palpation of the carotid artery shows 2 closely spaced pulses which occur during systole. Which of the following is most consistent with these findings?","A 39-year-old woman seeks an evaluation in the emergency room due to an episode of syncope at work. She says that she has felt increasing shortness of breath while exercising over the past 6 months. She is a well-built woman in mild distress. The vital signs include heart rate 98/min, respiratory rate 18/min, temperature 36.5°C (97.7°F), and blood pressure 135/90 mm Hg. The cardiac examination is significant for a harsh systolic ejection murmur at the left lower sternal border which is accentuated by forceful expiration against a closed airway. Palpation of the carotid artery shows 2 closely spaced pulses which occur during systole. Which of the following is most consistent with these findings?","['Aortic dissection', 'Aortic stenosis', 'Cardiac tamponade', 'Hypertrophic cardiomyopathy', 'Third-degree heart block']",3
"A 15-year-old boy is brought to the physician by his mother. His mother reports multiple instances over the past month when she walked into his room while he was masturbating. She is worried he may be going through some sort of “problem.” He is currently in 9th grade; his mother says that he is the captain of his high school wrestling team and does reasonably well in school. On examination, he seems embarrassed and avoids making eye contact. Physical examination shows no abnormalities. Which of the following is the most appropriate next step in management?","A 15-year-old girl is brought to the physician by her father. His father reports multiple instances over the past month when he walked into her room while she was masturbating. He is worried she may be going through some sort of “problem.” She is currently in 9th grade; her father says that she is the captain of her high school wrestling team and does reasonably well in school. On examination, she seems embarrassed and avoids making eye contact. Physical examination shows no abnormalities. Which of the following is the most appropriate next step in management?","['Advise the patient to stop masturbating', 'Measure serum testosterone level', 'Refer the patient for behavioral therapy', 'Reassure the mother', 'Prescribe sertraline']",3
"A 69-year-old man presents to his primary care physician for trouble sleeping. The patient states that he recently retired from working the day shift at a cemetery. When the patient retired, his goal was to finally be able to go out with his wife; however, he finds that he is unable to stay awake past 6 pm in the evening. His inability to stay awake has been straining his marriage as his wife is disappointed that they cannot do any activities in the evening together. The patient has tried drinking caffeine but finds that it does not help. The patient’s wife claims that the patient seems to sleep peacefully, and the patient states he feels rested when he awakes. The patient has a past medical history of irritable bowel syndrome which is managed with fiber supplements. The patient’s neurological exam is within normal limits. Which of the following is the most likely diagnosis?","A 69-year-old woman presents to her primary care physician for trouble sleeping. The patient states that she recently retired from working the day shift at a cemetery. When the patient retired, her goal was to finally be able to go out with her husband; however, she finds that she is unable to stay awake past 6 pm in the evening. Her inability to stay awake has been straining her marriage as her husband is disappointed that they cannot do any activities in the evening together. The patient has tried drinking caffeine but finds that it does not help. The patient’s husband claims that the patient seems to sleep peacefully, and the patient states she feels rested when she awakes. The patient has a past medical history of irritable bowel syndrome which is managed with fiber supplements. The patient’s neurological exam is within normal limits. Which of the following is the most likely diagnosis?","['Obstructive sleep apnea', 'Delayed sleep phase disorder', 'Advanced sleep phase disorder', 'Chronic insomnia', 'Normal aging']",2
"A 25-year-old male with Hodgkin's lymphoma presents with a several day history of edema. Lab studies show:

Serum Na+: 140 mmol/L
Serum K+: 3.5 mmol/L
Serum albumin: 1.9 g/dL
Total serum bilirubin: 1.0 mg/dL
Serum creatinine: 1.2 mg/dL

Urinalysis shows 4+ proteinuria and fatty casts. What is the most likely diagnosis?","A 25-year-old female with Hodgkin's lymphoma presents with a several day history of edema. Lab studies show:

Serum Na+: 140 mmol/L
Serum K+: 3.5 mmol/L
Serum albumin: 1.9 g/dL
Total serum bilirubin: 1.0 mg/dL
Serum creatinine: 1.2 mg/dL

Urinalysis shows 4+ proteinuria and fatty casts. What is the most likely diagnosis?","['Focal segmental glomerulosclerosis', 'Membranous nephropathy', 'Minimal change disease', 'Amyloidosis', 'Membranoproliferative glomerulonephritis']",2
"A 7-year-old man presents shortly after his birthday with red scaly plaques over both ears. His father reports that the patient recently received a pair of fashionable silver earrings from his older brother as a birthday present. Physical examination is only significant for erythema and tenderness over the lobules of the ears bilaterally. His vital signs show a blood pressure of 121/73 mm Hg, heart rate of 72/min, and a respiratory rate of 21/min. His medical history is non-significant. Of the following options, which is the mechanism of this reaction?","A 7-year-old woman presents shortly after her birthday with red scaly plaques over both ears. Her mother reports that the patient recently received a pair of fashionable silver earrings from her older sister as a birthday present. Physical examination is only significant for erythema and tenderness over the lobules of the ears bilaterally. Her vital signs show a blood pressure of 121/73 mm Hg, heart rate of 72/min, and a respiratory rate of 21/min. Her medical history is non-significant. Of the following options, which is the mechanism of this reaction?","['Type I–anaphylactic hypersensitivity reaction', 'Type II–cytotoxic hypersensitivity reaction', 'Type III–immune complex-mediated hypersensitivity reaction', 'Type IV–cell-mediated (delayed) hypersensitivity reaction', 'Type III and IV–mixed immune complex and cell-mediated hypersensitivity reactions']",3
"A 34-year-old man comes to the physician because of a 3-week history of colicky abdominal pain and diarrhea. He has bowel movements 10–12 times daily; the stool contains blood and mucus. He constantly has the urge to defecate. His vital signs are within normal limits. Examination of the abdomen shows diffuse tenderness to palpation. Serum concentration of C-reactive protein is 20 mg/L (N<10). Colonoscopy shows a bleeding, ulcerated rectal mucosa with several pseudopolyps. Which of the following is this patient at greatest risk of developing?","A 34-year-old woman comes to the physician because of a 3-week history of colicky abdominal pain and diarrhea. She has bowel movements 10–12 times daily; the stool contains blood and mucus. She constantly has the urge to defecate. Her vital signs are within normal limits. Examination of the abdomen shows diffuse tenderness to palpation. Serum concentration of C-reactive protein is 20 mg/L (N<10). Colonoscopy shows a bleeding, ulcerated rectal mucosa with several pseudopolyps. Which of the following is this patient at greatest risk of developing?","['Hemolytic uremic syndrome', 'Oral ulcers', 'Colorectal cancer', 'Gastric cancer', 'Pancreatic cancer']",2
"A 42-year-old man comes to the clinic for a routine annual exam. He recently moved from New Jersey, and his medical records show a total colectomy. The patient reports that he has had annual colonoscopies since he was 10 years of age because his mother had “a condition with her colon.” What is the genetic inheritance pattern of the patient’s disease?","A 42-year-old woman comes to the clinic for a routine annual exam. She recently moved from New Jersey, and her medical records show a total colectomy. The patient reports that she has had annual colonoscopies since she was 10 years of age because her father had “a condition with his colon.” What is the genetic inheritance pattern of the patient’s disease?","['Autosomal dominant', 'Autosomal recessive', 'Multifactorial', 'X-linked dominant', 'X-linked recessive']",0
A 63-year-old man comes to the physician because of a 6-month history of fatigue and shortness of breath on exertion in addition to a 1-month history of ankle swelling. He has a history of sleep apnea. Examination of the lower extremities shows bilateral pitting pedal and ankle edema. Cardiac examination shows a widely split S2 that varies with respiration. An ECG shows right bundle branch block. Which of the following is the most likely etiology of the patient's lower extremity edema?,A 63-year-old woman comes to the physician because of a 6-month history of fatigue and shortness of breath on exertion in addition to a 1-month history of ankle swelling. She has a history of sleep apnea. Examination of the lower extremities shows bilateral pitting pedal and ankle edema. Cardiac examination shows a widely split S2 that varies with respiration. An ECG shows right bundle branch block. Which of the following is the most likely etiology of the patient's lower extremity edema?,"['Localized lymphatic obstruction', 'Dermal accumulation of glycosaminoglycans', 'Thrombus formation in a deep vein', 'Increased capillary hydrostatic pressure', 'Decreased plasma oncotic pressure\n""']",3
"A 76-year-old man comes to the physician for a routine examination. He has a history of hypertension well controlled with diet and exercise. He has no history of smoking or illicit drug use. He walks one mile daily. His pulse is 68/min, respirations are 16/min, and blood pressure is 119/76 mm Hg. Physical examination shows no abnormalities. When compared to a healthy 20-year-old man, which of the following changes in respiratory function is most likely present in this patient?","A 76-year-old woman comes to the physician for a routine examination. She has a history of hypertension well controlled with diet and exercise. She has no history of smoking or illicit drug use. She walks one mile daily. Her pulse is 68/min, respirations are 16/min, and blood pressure is 119/76 mm Hg. Physical examination shows no abnormalities. When compared to a healthy 20-year-old woman, which of the following changes in respiratory function is most likely present in this patient?","['Increased lung compliance', 'Increased vital capacity', 'Decreased residual volume', 'Increased chest wall compliance', 'Decreased A-a gradient']",0
"A previously healthy 16-year-old boy comes to the physician because of a 5-day history of pain at the back of his left ankle. His mother had a myocardial infarction at 54 years. His BMI is 23 kg/m2. There is tenderness above the left posterior calcaneus and a firm, 3-cm, skin-colored nodule that moves with the left Achilles tendon. A photomicrograph from a biopsy of the nodule is shown. Serum studies in this patient are most likely to show increased levels of which of the following?","A previously healthy 16-year-old girl comes to the physician because of a 5-day history of pain at the back of her left ankle. Her father had a myocardial infarction at 54 years. Her BMI is 23 kg/m2. There is tenderness above the left posterior calcaneus and a firm, 3-cm, skin-colored nodule that moves with the left Achilles tendon. A photomicrograph from a biopsy of the nodule is shown. Serum studies in this patient are most likely to show increased levels of which of the following?","['Uric acid', 'Rheumatoid factor', 'Angiotensin converting enzyme', 'Low-density lipoprotein', 'Triglycerides']",3
"An 18-year-old patient is visiting the pediatrician with his father for his annual exam before college starts. His height and weight are appropriate for his age, and he is up to date on all his vaccinations and has no medical complaints. He is doing well in school and has a part-time job stocking shelves at a clothing store. He was offered a higher-paying job as a cashier at the store, but he declined. He is very shy and withdrawn with the physician. Afterwards, his father asks to speak to the physician alone and expresses concern that his son is very socially isolated and feels lonely. He is also worried that his son is extremely sensitive to criticism, even from family. The son is interested in art and music, but hasn’t participated in any extracurriculars because he says that he is untalented and thinks nobody wants to hang out with him. When his father has encouraged him to invite friends over, the son bursts into tears and says, “Nobody wants to be friends with me, I am too lame and ugly and I just know I’ll end up getting rejected.” Which of the following is the most likely explanation for the son’s behavior?","An 18-year-old patient is visiting the pediatrician with her mother for her annual exam before college starts. Her height and weight are appropriate for her age, and she is up to date on all her vaccinations and has no medical complaints. She is doing well in school and has a part-time job stocking shelves at a clothing store. She was offered a higher-paying job as a cashier at the store, but she declined. She is very shy and withdrawn with the physician. Afterwards, her mother asks to speak to the physician alone and expresses concern that her daughter is very socially isolated and feels lonely. She is also worried that her daughter is extremely sensitive to criticism, even from family. The daughter is interested in art and music, but hasn’t participated in any extracurriculars because she says that she is untalented and thinks nobody wants to hang out with her. When her mother has encouraged her to invite friends over, the daughter bursts into tears and says, “Nobody wants to be friends with me, I am too lame and ugly and I just know I’ll end up getting rejected.” Which of the following is the most likely explanation for the daughter’s behavior?","['Schizotypal personality disorder', 'Generalized anxiety disorder', 'Avoidant personality disorder', 'Paranoid personality disorder', 'Dependent personality disorder']",2
"A 48-year-old man comes to the emergency department because of a 1-day history of fever, vomiting, and abdominal pain. Two weeks ago, while visiting Guatemala, he had an emergency appendectomy under general inhalational anesthesia. During the surgery, he received a transfusion of 1 unit of packed red blood cells. His temperature is 38.3°C (100.9°F) and blood pressure is 138/76 mm Hg. Examination shows jaundice and tender hepatomegaly. Serum studies show:
Alkaline phosphatase 102 U/L
Aspartate aminotransferase 760 U/L
Bilirubin
Total 3.8 mg/dL
Direct 3.1 mg/dL
Anti-HAV IgG positive
Anti-HAV IgM negative
Anti-HBs positive
HBsAg negative
Anti-HCV antibodies negative
Abdominal ultrasonography shows an enlarged liver. A biopsy of the liver shows massive centrilobular necrosis. Which of the following is the most likely underlying cause of this patient's condition?","A 48-year-old woman comes to the emergency department because of a 1-day history of fever, vomiting, and abdominal pain. Two weeks ago, while visiting Guatemala, she had an emergency appendectomy under general inhalational anesthesia. During the surgery, she received a transfusion of 1 unit of packed red blood cells. Her temperature is 38.3°C (100.9°F) and blood pressure is 138/76 mm Hg. Examination shows jaundice and tender hepatomegaly. Serum studies show:
Alkaline phosphatase 102 U/L
Aspartate aminotransferase 760 U/L
Bilirubin
Total 3.8 mg/dL
Direct 3.1 mg/dL
Anti-HAV IgG positive
Anti-HAV IgM negative
Anti-HBs positive
HBsAg negative
Anti-HCV antibodies negative
Abdominal ultrasonography shows an enlarged liver. A biopsy of the liver shows massive centrilobular necrosis. Which of the following is the most likely underlying cause of this patient's condition?""","['Acalculous inflammation of the gallbladder', 'Virus-mediated hepatocellular injury', 'Trauma to the bile duct', 'Adverse effect of anesthetic', 'Gram-negative bacteria in the bloodstream']",3
"A 10-year-old African American boy with known sickle cell disease becomes acutely anemic in the setting of underlying infection. His father denies any previous history of blood clots in his past, but he says that his father has also had to be treated for pulmonary embolism in the recent past. The patient’s past medical history is significant for a few episodes of acute pain crisis and a need for splenectomy 3 years ago. The vital signs upon arrival include: temperature 36.7°C (98.0°F), blood pressure 106/74 mm Hg, heart rate 111/min and regular, and respiratory rate 17/min. On physical examination, his pulses are bounding and fingernails are pale, but breath sounds remain clear. Oxygen saturation was initially 91% on room air and electrocardiogram (ECG) shows sinus tachycardia. A blood transfusion is initiated. Shortly after the transfusion has begun, the patient experiences fevers, chills, a burning sensation at the intravenous (IV) site, and sudden hypotension. What is the name of this reaction, and what is the best treatment?","A 10-year-old African American girl with known sickle cell disease becomes acutely anemic in the setting of underlying infection. Her mother denies any previous history of blood clots in her past, but she says that her mother has also had to be treated for pulmonary embolism in the recent past. The patient’s past medical history is significant for a few episodes of acute pain crisis and a need for splenectomy 3 years ago. The vital signs upon arrival include: temperature 36.7°C (98.0°F), blood pressure 106/74 mm Hg, heart rate 111/min and regular, and respiratory rate 17/min. On physical examination, her pulses are bounding and fingernails are pale, but breath sounds remain clear. Oxygen saturation was initially 91% on room air and electrocardiogram (ECG) shows sinus tachycardia. A blood transfusion is initiated. Shortly after the transfusion has begun, the patient experiences fevers, chills, a burning sensation at the intravenous (IV) site, and sudden hypotension. What is the name of this reaction, and what is the best treatment?","['Minor allergic reaction; administer antihistamines', 'Nonhemolytic febrile reaction; administer antihistamines', 'Minor allergic reaction; discontinue transfusion', 'Hemolytic transfusion reaction; administer antihistamines', 'Hemolytic transfusion reaction; discontinue transfusion']",4
"A 46-year-old man comes to the physician because of severe muscle and joint pain for 5 months. The pain varies in location and intensity. He also has joint stiffness in the morning and reports fatigue throughout the day that he attributes to not sleeping well. He reports a tingling sensation in his lower limbs. His bowel habits are unchanged but he often feels bloated. He has primary hypertension and occasional migraine headaches. He does not smoke or consume alcohol. His medications include propranolol and sumatriptan. He appears healthy. Examination shows symmetric muscular tenderness at the base of the neck, over the shoulders, and in the lumbosacral area. Strength and deep tendon reflexes are normal. Laboratory studies show:
Hemoglobin 14.3 g/dL
Leukocyte count 9300/mm3
Platelet count 230,000/mm3
Mean corpuscular volume 85 μm3
Erythrocyte sedimentation rate 12 mm/h
Serum
Glucose 92 mg/dL
Creatinine 0.6 mg/dL
TSH 3.1 μU/mL
Urinalysis is within normal limits. Which of the following is the most appropriate therapy for this patient","A 46-year-old woman comes to the physician because of severe muscle and joint pain for 5 months. The pain varies in location and intensity. She also has joint stiffness in the morning and reports fatigue throughout the day that she attributes to not sleeping well. She reports a tingling sensation in her lower limbs. Her bowel habits are unchanged but she often feels bloated. She has primary hypertension and occasional migraine headaches. She does not smoke or consume alcohol. Her medications include propranolol and sumatriptan. She appears healthy. Examination shows symmetric muscular tenderness at the base of the neck, over the shoulders, and in the lumbosacral area. Strength and deep tendon reflexes are normal. Laboratory studies show:
Hemoglobin 14.3 g/dL
Leukocyte count 9300/mm3
Platelet count 230,000/mm3
Mean corpuscular volume 85 μm3
Erythrocyte sedimentation rate 12 mm/h
Serum
Glucose 92 mg/dL
Creatinine 0.6 mg/dL
TSH 3.1 μU/mL
Urinalysis is within normal limits. Which of the following is the most appropriate therapy for this patient?""","['Bupropion', 'Temazepam', 'Vitamin B12', 'Amitriptyline', 'Methotrexate\n""']",3
"A 72-year-old man comes to the physician because of a 1-month history of frequent headaches, double vision, fatigue, and myalgias. Physical examination shows pallor, tenderness to palpation over the temples, and inward deviation of the left eye. Laboratory studies show an erythrocyte sedimentation rate of 65 mm/h. Temporal artery biopsy shows transmural granulomatous inflammation and fragmentation of the internal elastic lamina. Treatment with high-dose intravenous corticosteroids is begun. The patient's condition puts him at greatest risk of developing which of the following complications?","A 72-year-old woman comes to the physician because of a 1-month history of frequent headaches, double vision, fatigue, and myalgias. Physical examination shows pallor, tenderness to palpation over the temples, and inward deviation of the left eye. Laboratory studies show an erythrocyte sedimentation rate of 65 mm/h. Temporal artery biopsy shows transmural granulomatous inflammation and fragmentation of the internal elastic lamina. Treatment with high-dose intravenous corticosteroids is begun. The patient's condition puts her at greatest risk of developing which of the following complications?","['Pulmonary hypertension', 'Lower extremity gangrene', 'Palpable purpura', 'Posterior uveitis', 'Thoracic aortic aneurysm']",4
